Ereignisjahr,KontinentK,HeimatK,Anzahl
2001,Europa,Spanien,44
2001,Europa,Türkei,94
2001,Ozeanien,Australien,3
2001,Ozeanien,Fidschi Inseln,0
2001,Ozeanien,Neuseeland,0
2001,Ozeanien,Tonga,0
2001,Schweiz,Schweiz,2062
2002,Afrika,Algerien,4
2002,Afrika,Angola,13
2002,Afrika,Äthiopien,1
2002,Afrika,Dem. Republik Kongo,4
2002,Afrika,Eritrea,0
2002,Afrika,Ghana,5
2002,Afrika,Marokko,5
2002,Afrika,Nigeria,2
2002,Afrika,Somalia,21
2002,Afrika,Tunesien,10
2002,Amerika,Argentinien,2
2002,Amerika,Brasilien,3
2002,Amerika,Chile,7
2002,Amerika,Dominikanische Republik,25
2002,Amerika,Kanada,4
2002,Amerika,Kolumbien,3
2002,Amerika,Kuba,2
2002,Amerika,Mexico,2
2002,Amerika,Peru,2
2002,Amerika,USA,21
2002,Asien,Bangla Desh,9
2002,Asien,China (Volksrepublik China),9
2002,Asien,Indien,21
2002,Asien,Irak,14
2002,Asien,Iran,8
2002,Asien,Libanon,7
2002,Asien,Pakistan,12
2002,Asien,Philippinen,10
2002,Asien,Sri Lanka,161
2002,Asien,Thailand,10
2002,Europa,Bosnien-Herzegowina,41
2002,Europa,Deutschland,131
2002,Europa,Grossbritannien,22
2002,Europa,Italien,98
2002,Europa,Kroatien,32
2002,Europa,Mazedonien,65
2002,Europa,Portugal,103
2002,Europa,"Serbien, Montenegro und Kosovo",291
2002,Europa,Spanien,38
2002,Europa,Türkei,105
2002,Ozeanien,Australien,3
2002,Ozeanien,Fidschi Inseln,0
2002,Ozeanien,Neuseeland,4
2002,Ozeanien,Tonga,0
2002,Schweiz,Schweiz,2072
2003,Afrika,Algerien,2
2003,Afrika,Angola,8
2003,Afrika,Äthiopien,0
2003,Afrika,Dem. Republik Kongo,2
2003,Afrika,Eritrea,1
2003,Afrika,Ghana,6
2003,Afrika,Marokko,3
2003,Afrika,Nigeria,5
2003,Afrika,Somalia,25
2003,Afrika,Tunesien,12
2003,Amerika,Argentinien,2
