Jahr,Geschlecht,statistischeZoneId,statistischeZoneName,Geburten
1993,weiblich,7303,Hegibachplatz,15
1993,weiblich,12101,Hagenholz,10
2014,weiblich,7101,Heubeeriweg,7
2014,weiblich,11106,Hürststrasse,29
2014,weiblich,3405,Idaplatz,27
1993,weiblich,10202,Im Sydefädeli,12
1993,weiblich,7406,Im Trichtisal,8
2014,weiblich,7406,Im Trichtisal,5
1993,weiblich,5105,Johannesgasse,13
1993,weiblich,3101,Höfliweg,26
1993,weiblich,11904,Höhenring,18
1993,weiblich,11502,Holunderhof,10
2014,weiblich,9102,In den Rütenen,16
1993,weiblich,9105,In der Ey,13
2014,weiblich,8204,In der Mühle,4
2014,weiblich,6109,Irchel,11
2014,weiblich,5105,Johannesgasse,12
1993,weiblich,2103,Jugendherberge,7
2014,weiblich,2103,Jugendherberge,12
2014,weiblich,11101,Katzensee,30
2014,weiblich,9215,Juchhof,4
1993,weiblich,4101,Kalkbreite,9
2014,weiblich,4101,Kalkbreite,16
1993,weiblich,7302,Klusplatz,6
1993,weiblich,10103,Imbisbühlstrasse,9
2014,weiblich,9105,In der Ey,18
1993,weiblich,8204,In der Mühle,3
2014,weiblich,7302,Klusplatz,15
2014,weiblich,5106,Konradstrasse,8
2014,weiblich,11901,Köschenrüti,21
2014,weiblich,11502,Holunderhof,12
1993,weiblich,10102,Hönggerberg,4
1993,weiblich,3405,Idaplatz,19
2014,weiblich,10202,Im Sydefädeli,19
2014,weiblich,12301,Kronwiesenstrasse,7
1993,weiblich,4404,Lochergut,10
1993,weiblich,6109,Irchel,8
1993,weiblich,11901,Köschenrüti,8
2014,weiblich,5204,KV-Business School,1
2014,weiblich,10207,Letten,14
2014,weiblich,9214,Letzigrund,11
2014,weiblich,6302,Letzistrasse,5
1993,weiblich,11909,Leutschenbach,5
1993,weiblich,11507,Magdalenenstrasse,10
2014,weiblich,10103,Imbisbühlstrasse,17
1993,weiblich,9102,In den Rütenen,16
1993,weiblich,7404,Loorenstrasse,2
2014,weiblich,11507,Magdalenenstrasse,14
1993,weiblich,7205,Merkurplatz,9
1993,weiblich,6102,Kiefernweg,10
1993,weiblich,7204,Kinderspital,11
2014,weiblich,7204,Kinderspital,11
2014,weiblich,2402,Kongresshaus,7
1993,weiblich,11506,Messegelände,9
1993,weiblich,2104,Morgental,7
1993,weiblich,1302,Münsterhof,2
